Season,Gameday,KID,GradeAvg
2005,31,24,3.68181818182
2005,31,17,3.27272727273
2005,31,81,4.04545454545
2005,31,11,4.31818181818
2005,31,32,3.04545454545
2005,31,37,3.5
2005,31,58,4.09090909091
2005,31,4,3.27272727273
2005,31,2,3.36363636364
2005,31,30,3.18181818182
2005,31,14,3.36363636364
2005,32,29,4.27272727273
2005,32,9,3.13636363636
2005,32,81,2.95454545455
2005,32,15,3.81818181818
2005,32,58,3.77272727273
2005,32,17,4.36363636364
2005,32,16,3.72727272727
2005,32,12,3.81818181818
2005,32,32,3.86363636364
2005,32,37,3.72727272727
2005,32,1,3.72727272727
2005,32,4,3.40909090909
2005,32,14,2.72727272727
2005,32,11,4.0
2005,32,24,4.54545454545
2005,32,30,3.36363636364
2005,32,2,3.59090909091
2005,32,10,3.68181818182
2005,33,4,2.81818181818
2005,33,16,5.09090909091
2005,33,10,4.09090909091
2005,33,1,3.86363636364
2005,33,30,3.22727272727
2005,33,2,4.36363636364
2005,33,29,3.22727272727
2005,33,12,4.04545454545
2005,33,11,3.59090909091
2005,33,24,3.90909090909
2005,33,9,3.18181818182
2005,33,81,3.27272727273
2005,33,37,2.86363636364
2005,33,14,3.40909090909
2005,33,17,4.22727272727
2005,33,32,3.36363636364
2005,33,15,3.5
2005,33,58,3.95454545455
2005,34,58,3.63636363636
2005,34,9,3.45454545455
2005,34,32,3.86363636364
2005,34,15,3.31818181818
2005,34,14,3.18181818182
2005,34,17,3.54545454545
2005,34,81,3.18181818182
2005,34,29,3.63636363636
2005,34,24,3.59090909091
2005,34,37,3.77272727273
2005,34,12,3.59090909091
2005,34,4,3.22727272727
2005,34,2,3.36363636364
2005,34,11,3.63636363636
2005,34,1,3.59090909091
2005,34,30,3.54545454545
2005,34,16,3.63636363636
2005,34,10,3.5
2006,1,14,2.72727272727
2006,1,17,4.09090909091
2006,1,12,4.18181818182
2006,1,10,3.54545454545
2006,1,2,3.09090909091
2006,1,32,4.18181818182
2006,1,9,2.72727272727
2006,1,110,4.5
2006,1,11,4.45454545455
2006,1,81,2.36363636364
2006,1,15,3.27272727273
2006,1,78,3.86363636364
