,Season,Gameday,Link,Score,Minute,Player
363,2004,6,677718,-3,89,23709
364,2004,6,677719,1,83,27789
365,2004,6,677720,1,18,9039
366,2004,6,677720,2,30,9039
367,2004,6,677720,1,52,24840
368,2004,6,677720,0,59,24840
369,2004,6,677721,1,13,26228
370,2004,6,677721,0,82,378
371,2004,6,677721,1,90,27607
372,2004,6,677723,1,12,26870
373,2004,6,677723,2,42,22714
374,2004,6,677723,3,90,263
375,2004,6,677724,-1,18,24866
376,2004,6,677724,-2,64,23091
377,2004,6,677724,-1,76,29567
378,2004,6,677716,-1,9,25041
379,2004,6,677716,0,56,22934
380,2004,6,677722,1,3,27558
381,2004,6,677722,0,11,31095
382,2004,6,677722,1,80,27558
383,2004,7,677725,-1,18,512
384,2004,7,677725,-2,46,31095
385,2004,7,677726,-1,22,22052
386,2004,7,677726,0,70,22682
387,2004,7,677726,-1,90,9053
388,2004,7,677727,-1,23,29757
389,2004,7,677727,-2,25,30176
390,2004,7,677727,-1,28,25041
391,2004,7,677727,0,45,25041
392,2004,7,677729,1,10,22814
393,2004,7,677729,2,74,28274
394,2004,7,677729,3,86,25733
395,2004,7,677730,1,14,29781
396,2004,7,677730,0,15,9039
397,2004,7,677730,1,43,307
398,2004,7,677731,-1,14,24786
399,2004,7,677731,-2,23,30755
400,2004,7,677731,-3,85,1757
401,2004,7,677731,-2,88,21890
402,2004,7,677733,-1,20,1666
403,2004,7,677733,-2,75,27701
404,2004,7,677733,-1,81,23709
405,2004,7,677728,-1,43,363
406,2004,7,677728,-2,90,27472
407,2004,7,677732,1,10,22057
408,2004,7,677732,2,13,9110
409,2004,7,677732,3,44,26563
410,2004,7,677732,2,49,25400
411,2004,7,677732,1,65,21734
412,2004,8,677734,-1,56,26356
413,2004,8,677734,0,83,21882
414,2004,8,677734,1,90,22934
415,2004,8,677735,-1,76,22057
416,2004,8,677736,-1,74,25496
417,2004,8,677739,1,39,30895
418,2004,8,677739,2,52,26084
419,2004,8,677739,1,54,1131
420,2004,8,677739,2,78,26483
421,2004,8,677740,-1,57,23091
422,2004,8,677740,-2,65,9122
423,2004,8,677741,1,52,25181
424,2004,8,677741,2,68,27472
425,2004,8,677742,1,26,29757
426,2004,8,677742,2,48,30176
427,2004,8,677742,3,56,144
428,2004,8,677737,1,7,24058
429,2004,8,677737,2,64,24058
430,2004,8,677737,3,90,1757
431,2004,8,677738,1,54,9039
432,2004,8,677738,2,78,9039
433,2004,9,677745,-1,9,24843
434,2004,9,677745,-2,70,1833
435,2004,9,677746,1,40,9122
436,2004,9,677747,-1,16,29763
437,2004,9,677747,-2,35,22689
438,2004,9,677748,1,27,430
439,2004,9,677748,2,39,27607
440,2004,9,677748,3,42,29781
441,2004,9,677749,-1,82,25272
442,2004,9,677749,-2,85,368
443,2004,9,677751,1,13,9126
444,2004,9,677751,2,18,24533
445,2004,9,677751,1,64,29757
446,2004,9,677751,2,75,26794
447,2004,9,677751,3,88,21927
448,2004,9,677744,1,35,1313
449,2004,9,677744,2,90,25338
450,2004,9,677750,1,25,26563
451,2004,9,677750,0,60,21882
452,2004,9,677750,1,69,22645
453,2004,10,677753,1,24,24314
454,2004,10,677753,2,45,24314
455,2004,10,677754,1,54,25415
456,2004,10,677754,2,85,202
457,2004,10,677754,3,90,22574
458,2004,10,677755,-1,26,23263
459,2004,10,677755,0,33,152
460,2004,10,677755,1,65,27744
461,2004,10,677755,2,86,27744
462,2004,10,677757,-1,44,25041
463,2004,10,677752,1,54,22052
464,2004,10,677752,2,70,21882
465,2004,10,677752,1,80,22838
466,2004,10,677752,2,90,1714
467,2004,10,677756,-1,20,9122
468,2004,10,677756,0,50,9079
469,2004,10,677756,1,54,9079
470,2004,10,677756,0,71,24866
471,2004,10,677756,1,78,9079
472,2004,10,677758,1,5,24843
473,2004,10,677758,2,28,63
474,2004,10,677758,3,52,63
475,2004,10,677758,4,57,63
476,2004,10,677759,1,45,27055
477,2004,10,677759,0,78,23709
478,2004,10,677759,-1,80,27646
479,2004,10,677760,-1,10,22645
480,2004,10,677760,-2,45,22575
481,2004,11,677762,1,25,24552
482,2004,11,677762,0,36,28615
483,2004,11,677762,-1,50,30895
